refn,uuid,course,english,source_path
1635,eafd65b5-abd0-42b1-8d9d-c68fe4c2f5e9,2,lead,/Volumes/Spanish2Bundle/2Pictures/Flashcard/lead.jpg
2094,dc682cf8-a40c-49e9-8ed4-b3ed5626f702,2,"to begin ,to commence","/Volumes/Spanish2Bundle/2Pictures/Flashcard/begin ,commence ,v.jpg"
1636,48bef57b-47dd-4afa-afbc-6670b478ba97,2,leather,/Volumes/Spanish2Bundle/2Pictures/Flashcard/leather.jpg
1307,f0f772ea-ded3-4059-8a11-78ff2292764a,2,engagement,/Volumes/Spanish2Bundle/2Pictures/Flashcard/engagement.jpg
2149,86da7b87-2af9-439e-a6a4-dc57fc6eddc0,2,overcast,/Volumes/Spanish2Bundle/2Pictures/Flashcard/overcast.jpg
1318,68f8c1a7-dd56-4a69-bbb4-15fdd37317a9,2,Happy Saint's Day!,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Happy Saints Day.jpg
1282,819f89a0-78d1-4a8a-8b5f-16ee07e157ab,2,engineer (m),/Volumes/Spanish2Bundle/2Pictures/Flashcard/engineer.jpg
2013,5039bc32-a7f1-4ba2-8fb3-005c22a355f4,2,wing,/Volumes/Spanish2Bundle/2Pictures/Flashcard/wing.jpg
2152,883168cb-5b70-4ae8-a0d9-1a8e5e44e733,2,cloudiness,/Volumes/Spanish2Bundle/2Pictures/Flashcard/cloudiness.jpg
1667,9dffaad5-6054-40eb-b3e9-acf0edfb67a7,2,"Welsh ,Welshman","/Volumes/Spanish2Bundle/2Pictures/Flashcard/Welsh ,Welshman.jpg"
1637,dce633cb-b1c7-489b-a9d8-57ae0de7de72,2,plastic,/Volumes/Spanish2Bundle/2Pictures/Flashcard/plastic.jpg
2017,17374016-c597-4090-96e6-a83ee53fae48,2,landing,/Volumes/Spanish2Bundle/2Pictures/Flashcard/landing.jpg
1662,d266ae56-ab93-4474-89e5-98c778c1bbde,2,Frenchwoman,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Frenchwoman.jpg
1659,58daa356-4565-47f6-8783-abff91f46c1f,2,foreigner,/Volumes/Spanish2Bundle/2Pictures/Flashcard/foreigner.jpg
1679,ab489a47-3d27-4129-9226-e76980232e3d,2,Greece,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Greece.jpg
2157,195bfcb5-cdfd-4118-ad15-c650a49009b8,2,this way,/Volumes/Spanish2Bundle/2Pictures/Flashcard/this way.jpg
1673,7cb7d2eb-3dc0-417b-a0fe-98cd3d2ee4f5,2,Italian (m/f),/Volumes/Spanish2Bundle/2Pictures/Flashcard/Italian.jpg
1807,320ae528-5f52-4c0b-97a8-7ee2b0279956,2,fixed price,/Volumes/Spanish2Bundle/2Pictures/Flashcard/fixed price.jpg
1889,9fcf3483-3ce5-4c62-8d99-fa5f10b58ba5,2,"truth ,true","/Volumes/Spanish2Bundle/2Pictures/Flashcard/truth ,true.jpg"
112,dddfd943-d00d-4b4d-b444-714702a8934b,1,electricity,/Volumes/Spanish1Bundle/1Pictures/Flashcard/electricity.jpg
1870,208f0ed3-aa56-40f8-a318-f36c79b66aee,2,cost,/Volumes/Spanish1Bundle/1Pictures/Flashcard/cost.jpg
1677,84e85bde-83db-4057-92c5-ef8f56e7527f,2,Belgian (man / woman),/Volumes/Spanish2Bundle/2Pictures/Flashcard/Belgian.jpg
1881,0813188e-d274-403f-b07f-31474c1fae3b,2,product,/Volumes/Spanish2Bundle/2Pictures/Flashcard/product.jpg
185,dd12d606-e74b-42f3-95ea-13fc1a989dfc,1,nervous,/Volumes/Spanish1Bundle/1Pictures/Flashcard/nervous.jpg
321,93b1ac21-431d-42ef-a960-3902ac0aa8df,1,soon,/Volumes/Spanish1Bundle/1Pictures/Flashcard/soon.jpg
474,6062dc1b-12d0-46b7-ae04-4206ef7f340b,1,big,/Volumes/Spanish1Bundle/1Pictures/Flashcard/big.jpg
524,2b8184b8-33cf-4c48-8420-e664937f41be,1,disaster,/Volumes/Spanish1Bundle/1Pictures/Flashcard/disaster.jpg
676,5e2edf76-9a39-4872-9fa3-68030deeee37,1,to cost,/Volumes/Spanish1Bundle/1Pictures/Flashcard/cost.jpg
1683,8a542c2f-97ae-4021-b15c-7cbb7ea0085c,2,France,/Volumes/Spanish2Bundle/2Pictures/Flashcard/France.jpg
1911,f8b988b7-cd1b-4433-a97e-78a3d2acb6e8,2,advantage,/Volumes/Spanish2Bundle/2Pictures/Flashcard/advantage.jpg
1680,9440891e-dc7a-48af-95c3-f2a01433d752,2,Poland,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Poland.jpg
404,095cb6fa-0361-4007-8ae6-9277faa1c18c,1,clock,/Volumes/Spanish1Bundle/1Pictures/Flashcard/clock.jpg
596,e828c1ab-4bdc-4d54-997d-25ad1331d4ad,1,both,/Volumes/Spanish1Bundle/1Pictures/Flashcard/both.jpg
1669,6a28c032-464a-4312-870a-b8eb05a56c52,2,native of Castile,/Volumes/Spanish2Bundle/2Pictures/Flashcard/native of Castille.jpg
1671,5347cf7c-4145-4f82-9cb9-219339dc7d1b,2,Asturian (m/f),/Volumes/Spanish2Bundle/2Pictures/Flashcard/Asturian.jpg
1678,92c7fcf9-84ac-45cf-9bf5-30d3ec52de1b,2,Scotsman (m/f),/Volumes/Spanish2Bundle/2Pictures/Flashcard/Scotsman.jpg
12,876f72cf-01d0-41c6-9ed9-6df1d9a26a4b,1,mistake,/Volumes/Spanish1Bundle/1Pictures/Flashcard/mistake.jpg
1685,1d54836d-d822-4005-a6dd-db545af98f04,2,Sweden,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Sweden.jpg
1681,35a9a428-d602-4a65-9c0c-de4f6dcaa595,2,USA,/Volumes/Spanish2Bundle/2Pictures/Flashcard/USA.jpg
156,a37fa05a-d4ff-4fac-b597-fdeb01a183ab,1,to be called,/Volumes/Spanish1Bundle/1Pictures/Flashcard/be called.jpg
1713,39a58e42-4328-4ef6-9424-a56e5367f8ea,2,to exist,"/Volumes/Spanish2Bundle/2Pictures/Flashcard/exist ,v.jpg"
1718,faa8df17-c677-4d9b-a33a-fc6f7dc147e4,2,attitude,/Volumes/Spanish2Bundle/2Pictures/Flashcard/attitude.jpg
1702,d6ada0a1-3e5d-4262-8ad0-bfeb15c98dfe,2,Scotland,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Scotland.jpg
1728,0fbd74be-ffc7-45eb-8b5e-544071f38928,2,thumb,/Volumes/Spanish2Bundle/2Pictures/Flashcard/thumb.jpg
1686,262155aa-7385-4181-a4fa-36bbda23608e,2,Switzerland,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Switzerland.jpg
1710,921dc338-283a-4da7-a530-631d7fbbbc73,2,opinion,/Volumes/Spanish2Bundle/2Pictures/Flashcard/opinion.jpg
1699,a02d791b-95a4-4698-ba13-c7d4fe5ad858,2,Europe,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Europe.jpg
1867,9a4dedd6-3d2c-41e4-84f6-436f5c04ad67,2,half price,/Volumes/Spanish2Bundle/2Pictures/Flashcard/half price.jpg
355,b1c772f3-cc67-4c12-b421-31ea8258f973,1,sheep,/Volumes/Spanish1Bundle/1Pictures/Flashcard/sheep.jpg
489,4722cc41-7ada-449b-8197-3d83e1fa3820,1,and,/Volumes/Spanish1Bundle/1Pictures/Flashcard/and.jpg
707,5358feb2-83c5-489d-9ec1-6e6c68a4ab3d,1,even (in…),"/Volumes/Spanish1Bundle/1Pictures/Flashcard/even, included.jpg"
1897,22517039-f2d9-4bf0-9a6c-7be437894157,2,ethics,/Volumes/Spanish2Bundle/2Pictures/Flashcard/ethics.jpg
1916,3fdad1ab-334a-4961-a647-fbea60b066a0,2,reason,/Volumes/Spanish2Bundle/2Pictures/Flashcard/reason.jpg
428,9956d7b0-8798-4c0a-adb6-dae2a7ecc990,1,clothes,/Volumes/Spanish1Bundle/1Pictures/Flashcard/clothes.jpg
1696,06849f26-0be0-4eac-81c4-42bdbd39e613,2,Italy,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Italy.jpg
1882,80af87ad-ab24-471d-b56c-a34cf8cd20b2,2,justice,/Volumes/Spanish2Bundle/2Pictures/Flashcard/justice.jpg
736,f91837e1-ac33-44a4-9cc6-6b9fe9ad50b9,1,ice cream,/Volumes/Spanish1Bundle/1Pictures/Flashcard/icecream.jpg
1729,010b07e2-13c2-4bd9-9651-170fe411ef22,2,eyebrow,/Volumes/Spanish2Bundle/2Pictures/Flashcard/eyebrow.jpg
1707,db910c3b-71f6-4916-98be-5b4fd5588aea,2,Norway,/Volumes/Spanish2Bundle/2Pictures/Flashcard/Norway.jpg
691,c018210f-079d-4475-bac9-0ef3c337b0fd,1,to pay,/Volumes/Spanish1Bundle/1Pictures/Flashcard/pay.jpg
1705,87267b32-7ac2-4a78-880e-32b243218c77,2,United Kingdom,/Volumes/Spanish2Bundle/2Pictures/Flashcard/United Kingdom.jpg
1716,229a09a4-bef6-4553-8018-274afefc563d,2,accent,/Volumes/Spanish2Bundle/2Pictures/Flashcard/accent.jpg
1717,c068f2d9-d8ce-48c7-8dc0-37852cf1e982,2,different,/Volumes/Spanish2Bundle/2Pictures/Flashcard/different.jpg
715,013da561-8dd9-4499-9f1e-ad83a291b496,1,neither,/Volumes/Spanish1Bundle/1Pictures/Flashcard/neither.jpg
749,8d506b69-ec6e-4d7a-95b9-ece37d752279,1,heat,/Volumes/Spanish1Bundle/1Pictures/Flashcard/heat.jpg
837,945376cb-f029-46eb-84b3-dc82aa7d37f1,1,wave (sea),/Volumes/Spanish1Bundle/1Pictures/Flashcard/wave (sea).jpg
1030,16765963-1d9f-4da0-b2e8-392e73bb8257,1,"don't mention it!, you're welcome!","/Volumes/Spanish1Bundle/1Pictures/Flashcard/dont mention it, youre welcome.jpg"
432,44ef6eb1-0d19-44dc-b8e0-90d1388057cf,1,dress,/Volumes/Spanish1Bundle/1Pictures/Flashcard/dress.jpg
508,77437796-4c3a-47ba-96d8-b93fd7d264a6,1,who?,/Volumes/Spanish1Bundle/1Pictures/Flashcard/who.jpg
839,88fcf792-62a8-4fdd-8daa-1e7c1996dea3,1,"fare, passage","/Volumes/Spanish1Bundle/1Pictures/Flashcard/fare, passage.jpg"
947,6d7ce110-96e9-40e5-84ed-3fc62c24894c,1,"at, to, on","/Volumes/Spanish1Bundle/1Pictures/Flashcard/at, to, on.jpg"
19,92605462-d093-4c75-9a6c-697d9af93fed,1,timetable,/Volumes/Spanish1Bundle/1Pictures/Flashcard/timetable.jpg
1251,88346959-93b5-488f-8151-8f9a0c6eff33,2,snake,/Volumes/Spanish2Bundle/2Pictures/Flashcard/snake.jpg
1903,99d138a4-3b1e-4647-8ad9-60540ad71b6e,2,politics,/Volumes/Spanish2Bundle/2Pictures/Flashcard/politics.jpg
1915,fd7d7762-644c-44e6-9539-d43dcf82a54b,2,reaction,/Volumes/Spanish2Bundle/2Pictures/Flashcard/reaction.jpg
2183,c3664a58-7ba4-4508-93cf-3f27fc105b92,2,to design,/Volumes/Spanish2Bundle/2Pictures/Flashcard/design.jpg
218,ab5782de-6d02-4cd2-b1b6-2905a1174f9b,1,to increase,/Volumes/Spanish1Bundle/1Pictures/Flashcard/increase.jpg
858,d124657c-3163-422c-9fef-6a839862a567,1,funny,/Volumes/Spanish1Bundle/1Pictures/Flashcard/funny.jpg
