legacy_refn,category_hint,source_filename,source_size_bytes,kind,english,headword,target_storage_path_template
1,word,"a ,art.swf",1188,swf,a - three forms of `a`,"un, uno, una 
<page break>un, una, uno",words/{word_uuid}/flashcard.png
2,word,"above ,on top of ,over ,prep.jpg",18319,jpg,"above, on top of, over",sopra,words/{word_uuid}/flashcard.jpg
3,word,"absolute ,adj.jpg",35137,jpg,absolute,assoluto,words/{word_uuid}/flashcard.jpg
5,word,"accommodation ,la.jpg",28821,jpg,accommodation,la sistemazione,words/{word_uuid}/flashcard.jpg
7,word,"address ,l (m).jpg",15474,jpg,address,l‘ indirizzo (m),words/{word_uuid}/flashcard.jpg
8,word,"adult (mf) ,n.jpg",28320,jpg,adult (m/f),l‘adulto (m) / l‘adulta (f),words/{word_uuid}/flashcard.jpg
9,word,"adventure ,l (f).jpg",20896,jpg,adventure,l‘ avventura (f),words/{word_uuid}/flashcard.jpg
10,word,"after ,adv.swf",2615,swf,after,dopo,words/{word_uuid}/flashcard.png
11,word,"afternoon ,il.swf",328,swf,afternoon,il pomeriggio,words/{word_uuid}/flashcard.png
12,word,"again (over again) ,adv.swf",17316,swf,again (over again),di nuovo,words/{word_uuid}/flashcard.png
13,word,"against ,prep.jpg",17604,jpg,against,contro,words/{word_uuid}/flashcard.jpg
14,word,"age ,l (f).jpg",34203,jpg,age,l‘ età (f),words/{word_uuid}/flashcard.jpg
15,word,"air ,l (f).jpg",14594,jpg,air,l‘ aria (f),words/{word_uuid}/flashcard.jpg
16,word,"air hostess ,la L.jpg",20875,jpg,air hostess,l‘ hostess (f),words/{word_uuid}/flashcard.jpg
17,word,"airline ,la.jpg",18736,jpg,airline,la compagnia aerea,words/{word_uuid}/flashcard.jpg
18,word,"airport ,l (m).jpg",73062,jpg,airport,l‘ aeroporto (m),words/{word_uuid}/flashcard.jpg
19,word,"alarm clock ,la.jpg",10678,jpg,alarm clock,la sveglia,words/{word_uuid}/flashcard.jpg
20,word,"alcohol ,l (m).jpg",15849,jpg,alcohol,l‘ alcol (m),words/{word_uuid}/flashcard.jpg
21,word,"all ,everything ,adj.jpg",31333,jpg,"all, everything, whole",tutto,words/{word_uuid}/flashcard.jpg
22,word,"almost ,adv.jpg",24322,jpg,almost,quasi,words/{word_uuid}/flashcard.jpg
24,word,"along ,prep.jpg",28569,jpg,along,lungo,words/{word_uuid}/flashcard.jpg
25,word,"already ,adv.jpg",16518,jpg,already,già,words/{word_uuid}/flashcard.jpg
26,word,"also, as well, too ,prep.swf",2783,swf,"also, as well, too",anche,words/{word_uuid}/flashcard.png
27,word,"also ,besides ,whats more ,adv.swf",3958,swf,"also, besides, whats more",inoltre,words/{word_uuid}/flashcard.png
28,word,"although ,though ,conj.swf",3011,swf,"although, though",benché,words/{word_uuid}/flashcard.png
29,word,"always ,adv.jpg",25324,jpg,always,sempre,words/{word_uuid}/flashcard.jpg
31,word,"amusing ,adj.jpg",15815,jpg,amusing,divertente,words/{word_uuid}/flashcard.jpg
32,word,"and ,conj.jpg",7409,jpg,and,e,words/{word_uuid}/flashcard.jpg
33,word,"angry ,adj.jpg",25608,jpg,angry,arrabbiato,words/{word_uuid}/flashcard.jpg
34,word,"animal ,l (m).jpg",28058,jpg,animal,l‘ animale (m),words/{word_uuid}/flashcard.jpg
35,word,"apartment block ,lo.jpg",34089,jpg,apartment block,lo stabile,words/{word_uuid}/flashcard.jpg
36,word,"apartment ,flat ,l (m).jpg",37324,jpg,"apartment, flat",l‘ appartamento (m),words/{word_uuid}/flashcard.jpg
37,word,"apple ,la.jpg",22455,jpg,apple,la mela,words/{word_uuid}/flashcard.jpg
38,word,"April ,m.swf",2774,swf,April,aprile (m),words/{word_uuid}/flashcard.png
39,word,"arm ,il.jpg",10849,jpg,arm,il braccio,words/{word_uuid}/flashcard.jpg
40,word,"around ,prep.jpg",13803,jpg,around,intorno,words/{word_uuid}/flashcard.jpg
41,word,"arrival ,l (m).jpg",68961,jpg,arrival,l‘ arrivo (m),words/{word_uuid}/flashcard.jpg
42,word,"as ,conj.jpg",11231,jpg,as,come,words/{word_uuid}/flashcard.jpg
44,word,"at home ,phr.jpg",20495,jpg,at home,a casa,words/{word_uuid}/flashcard.jpg
45,word,"in the end of ,phr.jpg",26972,jpg,in the end (of),alla fine,words/{word_uuid}/flashcard.jpg
48,word,"of (belonging to) ,prep.jpg",13701,jpg,of (belonging to),di,words/{word_uuid}/flashcard.jpg
49,word,"to ,in ,by ,prep.jpg",19219,jpg,"to, in, by",in,words/{word_uuid}/flashcard.jpg
50,word,"about ,out of ,prep.jpg",21219,jpg,"about, out of",su,words/{word_uuid}/flashcard.jpg
51,word,"for ,prep.swf",899,swf,for,per,words/{word_uuid}/flashcard.png
