path,final_url,http_status,redirect_chain_len,title,meta_description,canonical,h1,h1_count,robots_meta,lang,word_count,img_count,asset_count,pagespeed_imgs,internal_out_count,has_paypal,has_trafficwave,has_comment_form,has_rotator_iframe,img_urls,asset_urls,internal_links_out,external_links_out,fetched_at
/,https://www.200words-a-day.com/,200,0,"200 Words a Day! Spanish, French, German, Italian, Welsh vocab builder.","Language learning  with Memory Techniques to Learn Spanish, French, German, Welsh. Build  your vocab - practise with sentences. Innovative, interactive, a fun.& effective way to learn.",https://www.200words-a-day.com/,200 Words a Day! Language Learning,2,,,3861,11,0,10,92,False,False,False,False,https://www.200words-a-day.com/objects/xrss.jpg.pagespeed.ic.tg98uIqgYi.jpg https://www.200words-a-day.com/objects/xfeedly.gif.pagespeed.ic.t3Vu8JhVKA.png https://www.200words-a-day.com/objects/xaddtomyyahoo4.gif.pagespeed.ic.PgZzd5uL-1.png https://www.200words-a-day.com/objects/add-mymsn2.gif https://www.200words-a-day.com/objects/xbloglines.gif.pagespeed.ic.vnK-NB9PiG.png https://www.200words-a-day.com/images/xgamba-an.gif.pagespeed.ic.o5glcqiiSa.png https://www.200words-a-day.com/images/120x100xSpanish-logo.jpg.pagespeed.ic.SBTxiFP8NM.jpg https://www.200words-a-day.com/images/120x100xFrench-logo.jpg.pagespeed.ic.vyMYHaeNVK.jpg https://www.200words-a-day.com/images/120x100xGerman-logo.jpg.pagespeed.ic.6lFMGuyFee.jpg https://www.200words-a-day.com/images/120x100xWelcomeItalian.jpg.pagespeed.ic.uSNk_92sOn.jpg https://www.200words-a-day.com/images/120x100xwelshlogopic326x278.jpg.pagespeed.ic.fGuFINliZg.jpg,,/ /200words-a-day-technical-help.html /accelerated-learning.html /chinese-memory-triggers.html /contact-us.html /daily-french-lesson-code.html /daily-french-lesson.html /daily-italian-lesson.html /email-confirmation.html /estar.html /foreign-service-institute-fsi-german.html /free-french-lessons.html /free-spanish-lesson.html /french-flashcard.html /french-for-advise.html /french-in-action.html /french-memory-trigger.html /french-newsletter.html /french-pronunciation-guide.html /french-proverb-of-the-day.html /french-rugby.html /french-tips.html /french-travel-word.html /french-verb-aller.html /french-verb-avoir.html /french-verb-devoir.html /french-verb-etre.html /french-verb-faire.html /french-verb-pouvoir.html /french-verb-vouloir.html /french-word-of-the-day.html /fsi-french-course.html /fsi-german-course.html /german-flashcard.html /german-proverb-of-the-day.html /german-travel-word.html /help/rss.html /holiday-phrases.html /italian-flashcard.html /italian-for-noisy.html /language-learning-blog.html /language-learning-ezine.html /language-learning-flashcard.html /language-learning-questions.html /language-learning-sitemap.html /language-learning-survey.html /language-learning.xml /language-tutorial.html /learn-french-blog-archive-2007-08.html /learn-french-blog.html /learn-french.html /learn-german-2.html /learn-german-blog.html /learn-german.html /learn-italian-fast.html /learn-italian.html /learn-spanish-blog.html /learn-spanish-ebook.html /learn-spanish-in-caceres.html /learn-spanish-like-crazy.html /learn-spanish-verb-books.html /learn-spanish.html /learn-welsh.html /link-to-us.html /main-page.html /make-sentences.html /masculine-gender.html /memory-masters.html /modern-foreign-languages.html /order-page.html /privacy-statement.html /rapid-conjugation-of-spanish-verbs.html /second-language-benefits.html /simulated-immersion.html /sleep-in-spanish.html /spanish-for-carrot.html /spanish-for-mother.html /spanish-for-snow.html /spanish-for-stop.html /spanish-lesson-list.html /spanish-memory-trigger.html /spanish-travel-word.html /spanish-verb-list.html /spanish-verbs.html /spanish-vocab-turbobooster.html /ten-most-important-spanish-verbs.html /testimonial.html /total-immersion.html /typing-welsh-characters.html /welsh-memory-trigger.html /word-of-the-day.html /z-tech-pictures-too-fast.html,add.my.yahoo.com feedly.com my.msn.com www.bloglines.com,2026-09-18T12:26:53.415147+00:00
/1-jun-blog-sample.html,https://www.200words-a-day.com/1-jun-blog-sample.html,200,0,1-jun-blog,Daily French Lesson - today 1 June Blog,https://www.200words-a-day.com/1-jun-blog-sample.html,1er Juin,1,,,339,11,0,9,28,False,False,False,False,https://www.200words-a-day.com/images/juin.gif https://www.200words-a-day.com/objects/xrss.jpg.pagespeed.ic.tg98uIqgYi.jpg https://www.200words-a-day.com/objects/xfeedly.gif.pagespeed.ic.t3Vu8JhVKA.png https://www.200words-a-day.com/objects/xaddtomyyahoo4.gif.pagespeed.ic.PgZzd5uL-1.png https://www.200words-a-day.com/objects/add-mymsn2.gif https://www.200words-a-day.com/objects/xbloglines.gif.pagespeed.ic.vnK-NB9PiG.png https://www.200words-a-day.com/images/120x100xSpanish-logo.jpg.pagespeed.ic.SBTxiFP8NM.jpg https://www.200words-a-day.com/images/120x100xFrench-logo.jpg.pagespeed.ic.vyMYHaeNVK.jpg https://www.200words-a-day.com/images/120x100xGerman-logo.jpg.pagespeed.ic.6lFMGuyFee.jpg https://www.200words-a-day.com/images/120x100xWelcomeItalian.jpg.pagespeed.ic.uSNk_92sOn.jpg https://www.200words-a-day.com/images/120x100xwelshlogopic326x278.jpg.pagespeed.ic.fGuFINliZg.jpg,,/ /accelerated-learning.html /contact-us.html /daily-french-lesson.html /estar.html /free-french-lessons.html /free-spanish-lesson.html /help/rss.html /language-learning-blog.html /language-learning-ezine.html /language-learning-questions.html /language-learning-sitemap.html /language-learning-survey.html /language-learning.xml /language-tutorial.html /learn-french-blog.html /learn-french.html /learn-german.html /learn-italian-fast.html /learn-spanish-verb-books.html /learn-spanish.html /learn-welsh.html /link-to-us.html /main-page.html /order-page.html /privacy-statement.html /testimonial.html /word-of-the-day.html,add.my.yahoo.com feedly.com my.msn.com www.bloglines.com,2026-09-18T12:26:53.430438+00:00
/1.french-word-a-day.html,https://www.200words-a-day.com/1.french-word-a-day.html,200,0,French Word of the Day,"The Word for To love in French'is adorer . 

Get a Free pic and French word of the day for your website that automatically changes every day with no input from you.",https://www.200words-a-day.com/1.french-word-a-day.html,,0,,,128,0,0,0,3,False,False,False,False,,,/french-pics.html /learn-french.html /link-to-us.html,,2026-09-18T12:26:53.434387+00:00
/1.german-word-a-day.html,https://www.200words-a-day.com/1.german-word-a-day.html,200,0,German Word of the Day,"The Word for freedom in French'is liberté. 

Get a Free pic and German word of the day for your website that automatically changes every day with no input from you.",https://www.200words-a-day.com/1.german-word-a-day.html,,0,,,132,0,0,0,3,False,False,False,False,,,/learn-german-pics.html /learn-german.html /link-to-us.html,,2026-09-18T12:26:53.439687+00:00
/1.html,https://www.200words-a-day.com/1.html,200,0,Spanish Word of the Day,Spanish Word of the Day,https://www.200words-a-day.com/1.html,,0,,,173,1,0,1,10,False,False,False,False,https://www.200words-a-day.com/images/x1.gif.pagespeed.ic.zgICjKqUQ0.png,,/french-proverb-of-the-day.html /german-proverb-of-the-day.html /learn-french.html /learn-german.html /learn-italian.html /learn-spanish-pics.html /learn-spanish.html /learn-welsh.html /link-to-us.html /spanish-proverb-of-the-day.html,,2026-09-18T12:26:53.444967+00:00
/10.french-word-a-day.html,https://www.200words-a-day.com/10.french-word-a-day.html,200,0,French Word of the Day,"The Word for cheap in French'is bon marche . 

Get a Free pic and French word of the day for your website that automatically changes every day with no input from you.",https://www.200words-a-day.com/10.french-word-a-day.html,,0,,,118,0,0,0,3,False,False,False,False,,,/french-pics.html /learn-french.html /link-to-us.html,,2026-09-18T12:26:53.451245+00:00
/10.german-word-a-day.html,https://www.200words-a-day.com/10.german-word-a-day.html,200,0,German Word of the Day,"The Word for couple in german'is Ehepaar. 

Get a Free pic and German word of the day for your website that automatically changes every day with no input from you.",https://www.200words-a-day.com/10.german-word-a-day.html,,0,,,125,0,0,0,3,False,False,False,False,,,/learn-german-pics.html /learn-german.html /link-to-us.html,,2026-09-18T12:26:53.455059+00:00
/10.html,https://www.200words-a-day.com/10.html,200,0,Spanish Word of the Day,Spanish Word of the Day . Get a Free pic and Spanish word of the day for your website.,https://www.200words-a-day.com/10.html,,0,,,166,1,0,0,10,False,False,False,False,https://www.200words-a-day.com/images/10.gif,,/french-proverb-of-the-day.html /german-proverb-of-the-day.html /learn-french.html /learn-german.html /learn-italian.html /learn-spanish-pics.html /learn-spanish.html /learn-welsh.html /link-to-us.html /spanish-proverb-of-the-day.html,,2026-09-18T12:26:53.460108+00:00
/10Apr-daily-italian-lesson.html,https://www.200words-a-day.com/10Apr-daily-italian-lesson.html,200,0,Italian for sadden - 'addolorare'. Daily Italian Verb Lesson,"Today's verb, the Italian for sadden is 'addolorare'. To remember this imagine A DOLL is SADDENED by her loss of A DOLLAR!  A regular -ARE verb. This month's family of verbs are the -ARE regulars. Do the Italian Daily Verb Lesson every day and within 30 days you'll really consolidate your verb knowledge. I sadden, it saddens, you will sadden, he may sadden, I have saddened, we had saddened, etc.",https://www.200words-a-day.com/10Apr-daily-italian-lesson.html,,0,,,600,1,0,1,11,False,True,False,False,https://www.200words-a-day.com/images/294x250xaddolorare.jpg.pagespeed.ic.6bs0owcnZ3.jpg,,/10Apr-daily-italian-lesson.html /9Apr-daily-italian-lesson.html /daily-italian-lesson-code.html /index.html /italian-lesson-list.html /learn-french.html /learn-german.html /learn-italian-fast.html /learn-italian.html /learn-spanish.html /learn-welsh.html,,2026-09-18T12:26:53.482171+00:00
/10Aug-daily-italian-lesson.html,https://www.200words-a-day.com/10Aug-daily-italian-lesson.html,200,0,Italian for oppose - 'osteggiare'. Daily Italian Verb Lesson,"Today's verb, the Italian for oppose is 'osteggiare'. To remember this imagine OPPOSING the release of the HOSTAGE from the HOSTAGE JAR! This family of verbs are -ARE irregulars. Do the Italian Daily Verb Lesson every day and within 30 days you'll really consolidate your verb knowledge. I oppose, it opposes, you will oppose, he may oppose, I have opposed, we had opposed, etc.",https://www.200words-a-day.com/10Aug-daily-italian-lesson.html,,0,,,637,1,0,0,11,False,True,False,False,https://www.200words-a-day.com/images/osteggiare.jpg,,/10Aug-daily-italian-lesson.html /9Aug-daily-italian-lesson.html /daily-italian-lesson-code.html /index.html /italian-lesson-list.html /learn-french.html /learn-german.html /learn-italian-fast.html /learn-italian.html /learn-spanish.html /learn-welsh.html,,2026-09-18T12:26:53.506620+00:00
